idPan;panNome;panNomeCompleto;panNomeFantasia;panAbrangenciaTaxonomica;panAbrangenciaGeografica;panCiclo;panStatus;panCentro;panInicioData;panInicioAno;Data da portaria vigente do PAN;"Data do início da vigência do PAN na portaria 
(último artigo da portaria)";panFimData;panFimAno;panPortaria;panProcesso;panLogo;panSite
CENAP_14.01;Pequenos Mamíferos de Áreas Florestais;Plano de Ação Nacional para a Conservação dos Pequenos Mamíferos de Áreas Florestais;Pequenos Mamíferos de Áreas Florestais;Intraclasse;Nacional;1º ciclo;Em execução;CENAP;04/07/2022;2022;04/07/2022;01/08/2022;02/08/2027;2027;Portaria 561 (4/07/2022);02068.000063/2019-25;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pequenos-mamiferos-areas-florestais
CENAP_15.03;(Previsto) Ariranha - 3º ciclo;Plano de Ação Nacional para a Conservação da Ariranha (Pteronura brasiliensis);Ariranha;Monoespecífico;Específico (distribuição da espécie);3º ciclo;Previsto;CENAP;Previsto;Previsto;;;;;;02070.004196/2010-93;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ariranha
CEPAM_01.01;(Finalizado) Baixo e Médio Xingu;Plano de Ação Nacional para Conservação das Espécies Endêmicas Ameaçadas de Extinção da Fauna da Região do Baixo e Médio Xingu;Baixo e Médio Xingu;Multiclasse;Bacia;1º ciclo;Finalizado;CEPAM;17/02/2012;2012;17/02/2012;17/02/2012;11/03/2019;2019;Portaria 16 (17/02/2012);02070.001962/0110-0;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-xingu
CEPAM_02.01;Peixes Amazônicos;Plano de Ação Nacional para a Conservação de Espécies de Peixes Ameaçados de Extinção da Amazônia;Peixes Amazônicos;Multiclasse;Bioma;1º ciclo;Em execução;CEPAM;01/08/2019;2019;01/08/2019;01/08/2019;01/07/2024;2024;Portaria 374 (01/08/2019);02083000012/2018-24;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-peixes-amazonicos
CEPENE_01.01;Peixe-boi Marinho;Plano de Ação Nacional para Conservação dos Peixes-bois Marinhos (Trichechus manatus);Peixe-boi Marinho;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Em execução;CMA;04/04/2018;2018;04/04/2018;04/04/2018;01/02/2023;2023;Portaria 249 (04/04/2018);02030.000037/2017-62;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-peixe-boi-marinho
CEPSUL_01.01;(Finalizado) Tubarões - 1º ciclo;Plano de Ação Nacional para a Conservação dos Tubarões e Raias Marinhas Ameaçados de Extinção;Tubarões;Intraclasse;Bioma;1º ciclo;Em execução;CEPSUL;04/12/2014;2014;04/12/2014;04/12/2014;01/07/2019;2019;Portaria 125 (04/12/2014);02070.002911/ 2011-34;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tubaroes
CEPSUL_02.01;Corais;Plano de Ação Nacional para a Conservação dos Ambientes Coralíneos;Corais;Multiclasse;Ecossistema;1º ciclo;Em execução;CEPSUL;09/03/2016;2016;09/03/2016;09/03/2016;01/02/2021;2021;Portaria 19 (09/03/2016);02070.001393/2013-01;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-corais
CEPSUL_03.01;Lagoas do Sul;Plano de Ação Nacional para a Conservação dos Sistemas Lacustres e Lagunares do Sul do Brasil;Lagoas do Sul;Multiclasse;Ecossistema;1º ciclo;Em execução;CEPSUL;27/08/2018;2018;27/08/2018;27/08/2018;01/09/2023;2023;Portaria 751 (27/08/2018);02032.010059/2016-30;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-lagoas-do-sul
CEPSUL_04.02;(Previsto) Tubarões - 2º ciclo;Plano de Ação Nacional para a Conservação dos Tubarões e Raias Marinhas Ameaçados de Extinção;Tubarões;Intraclasse;Bioma;2º ciclo;Previsto;CEPSUL;Previsto;Previsto;;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tubaroes
CEPSUL_05.02;(Previsto) Corais - 2º ciclo;Plano de Ação Nacional para a Conservação dos Ambientes Coralíneos;Corais;Multiclasse;Ecossistema;2º ciclo;Previsto;CEPSUL;Previsto;Previsto;;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-corais
